200 200 
0 0 23138178
0 100 24183594
0 101 26150374
0 102 26569094
0 103 26029301
0 104 24037328
0 105 24080780
0 106 22445669
0 107 21651591
0 108 22676777
0 109 23670086
0 10 26098065
0 110 25851673
0 111 27381638
0 112 25329883
0 113 23395011
0 114 26293259
0 115 25510318
0 116 25481340
0 117 23644965
0 118 25246115
0 119 24751693
0 11 25532060
0 120 24520787
0 121 23949076
0 122 22157048
0 123 24457767
0 124 22956460
0 125 26374304
0 126 23793699
0 127 26754478
0 128 24983001
0 129 27513067
0 12 26947240
0 130 25388871
0 131 23777003
0 132 25683244
0 133 25751502
0 134 27480353
0 135 26892747
0 136 27217066
0 137 24463381
0 138 26910306
0 139 24210590
0 13 25382701
0 140 27755491
0 141 25566277
0 142 27468256
0 143 26782657
0 144 25737657
0 145 25556119
0 146 26263752
0 147 25611450
0 148 24680046
0 149 25420014
0 14 25099566
0 150 24574547
0 151 21644750
0 152 27532403
0 153 25027786
0 154 24684894
0 155 21343205
0 156 23624171
0 157 24660400
0 158 29773090
0 159 26061489
0 15 22268348
0 160 25305792
0 161 23333979
0 162 22305221
0 163 25070092
0 164 26302081
0 165 26148026
0 166 22252413
0 167 25964523
0 168 23863086
0 169 22474726
0 16 24849883
0 170 26553347
0 171 25405566
0 172 26687392
0 173 26188378
0 174 27468043
0 175 25335086
0 176 23979375
0 177 28777971
0 178 24411549
0 179 24135640
0 17 26157296
0 180 23978347
0 181 26917570
0 182 23599732
0 183 24503881
0 184 25692592
0 185 26953199
0 186 27849887
0 187 23751983
0 188 22808246
0 189 28387358
0 18 24926544
0 190 27471709
0 191 27451098
0 192 23857058
0 193 26310578
0 194 24668135
0 195 23809634
0 196 28157758
0 197 23430649
0 198 24396367
0 199 24639805
0 19 25052605
0 1 26983908
0 20 26752802
0 21 25308566
0 22 24900078
0 23 26106168
0 24 24420686
0 25 23538068
0 26 27725274
0 27 29150892
0 28 26946846
0 29 27394395
0 2 27351755
0 30 26245290
0 31 27874358
0 32 25478830
0 33 27798874
0 34 24578295
0 35 25566622
0 36 23675537
0 37 27035316
0 38 24458741
0 39 24529354
0 3 27331450
0 40 26404732
0 41 23161408
0 42 24301329
0 43 27356398
0 44 25633729
0 45 25320980
0 46 24807464
0 47 26048577
0 48 20921819
0 49 25766122
0 4 24776629
0 50 24968767
0 51 24250462
0 52 29377017
0 53 26377852
0 54 26912629
0 55 25352840
0 56 25469328
0 57 25139155
0 58 22384486
0 59 23021137
0 5 27956023
0 60 26103373
0 61 26649576
0 62 24938499
0 63 26772081
0 64 25410456
0 65 25154436
0 66 24975591
0 67 22530011
0 68 25784147
0 69 25046686
0 6 25878343
0 70 29793682
0 71 25890395
0 72 22304166
0 73 24968417
0 74 24375421
0 75 26547913
0 76 25137520
0 77 25187736
0 78 28657879
0 79 25061952
0 7 26691067
0 80 26008822
0 81 22853019
0 82 22720435
0 83 25803769
0 84 23736478
0 85 22620965
0 86 25619985
0 87 26406982
0 88 28223883
0 89 25213027
0 8 23482114
0 90 25960300
0 91 26868702
0 92 27278898
0 93 25335079
0 94 26053954
0 95 23551885
0 96 23246156
0 97 25720335
0 98 25241166
0 99 26203382
0 9 24759665
1 0 24233617
1 100 24664412
1 101 27040719
1 102 26939745
1 103 24976704
1 104 24350184
1 105 24505120
1 106 21402072
1 107 24173175
1 108 23727643
1 109 24438128
1 10 23983140
1 110 27903409
1 111 27124740
1 112 23813380
1 113 23873723
1 114 25337933
1 115 27464719
1 116 23547813
1 117 23603399
1 118 25360735
1 119 27012517
1 11 25293317
1 120 25980029
1 121 24202787
1 122 24674045
1 123 25762613
1 124 22732758
1 125 24998126
1 126 24014463
1 127 26327742
1 128 26343766
1 129 27341862
1 12 25573995
1 130 25023722
1 131 24693662
1 132 25727853
1 133 26920893
1 134 27200497
1 135 26262155
1 136 25556198
1 137 23990242
1 138 26738350
1 139 25192823
1 13 28521531
1 140 28311280
1 141 24055170
1 142 27230924
1 143 25889413
1 144 25736970
1 145 26471764
1 146 26217619
1 147 23638202
1 148 25973947
1 149 25557062
1 14 25118643
1 150 26081771
1 151 23110696
1 152 26468956
1 153 24333176
1 154 25522062
1 155 20451887
1 156 23884916
1 157 26323202
1 158 28316799
1 159 25906133
1 15 23609394
1 160 25136650
1 161 23776518
1 162 23464073
1 163 25092012
1 164 28696196
1 165 26337268
1 166 25174032
1 167 27186382
1 168 24446558
1 169 27236566
1 16 24845749
1 170 26290079
1 171 25486222
1 172 26092510
1 173 27080124
1 174 26081038
1 175 25866131
1 176 25754374
1 177 28812471
1 178 23417441
1 179 26285695
1 17 27370744
1 180 25690590
1 181 28764493
1 182 25497439
1 183 25749757
1 184 25785803
1 185 28520041
1 186 26257979
1 187 24899758
1 188 22622342
1 189 29329305
1 18 27553207
1 190 28287214
1 191 29489288
1 192 26020248
1 193 25838691
1 194 23685116
1 195 23871985
1 196 26397495
1 197 26095228
1 198 26077149
1 199 24444369
1 19 24708747
1 1 27885176
1 20 28413117
1 21 25783085
1 22 25800374
1 23 27726725
1 24 24446175
1 25 22685107
1 26 28515000
1 27 28396918
1 28 27386715
1 29 26927394
1 2 26585070
1 30 25573254
1 31 26361511
1 32 26866623
1 33 29168566
1 34 25967337
1 35 26811374
1 36 25145724
1 37 27318015
1 38 25566275
1 39 25859407
1 3 27835986
1 40 28634266
1 41 23746605
1 42 24564833
1 43 25080880
1 44 24488312
1 45 24254393
1 46 25032329
1 47 26213472
1 48 21659841
1 49 28886861
1 4 23189337
1 50 24904735
1 51 25471015
1 52 30846357
1 53 24933124
1 54 23920557
1 55 24289916
1 56 23343394
1 57 25361909
1 58 24145949
1 59 24043944
1 5 26256789
1 60 24966799
1 61 27445688
1 62 24976862
1 63 28214465
1 64 28652188
1 65 25294580
1 66 25569973
1 67 23410216
1 68 23881303
1 69 24309528
1 6 26650358
1 70 26985759
1 71 26122150
1 72 23498364
1 73 25710328
1 74 24740857
1 75 27805536
1 76 23646965
1 77 25222245
1 78 28672565
1 79 24780976
1 7 25961407
1 80 26474675
1 81 24836306
1 82 25183559
1 83 24800597
1 84 23886789
1 85 24102112
1 86 27115086
1 87 27864421
1 88 28612164
1 89 25763460
1 8 26255931
1 90 23908641
1 91 27202726
1 92 27000813
1 93 26118555
1 94 27132350
1 95 23878426
1 96 25904920
1 97 24682836
1 98 24947447
1 99 26161741
1 9 25325161
10 0 23783360
10 100 23767735
10 101 24687969
10 102 26367419
10 103 23226680
10 104 22872085
10 105 22415663
10 106 21090200
10 107 21480604
10 108 23618266
10 109 22743623
10 10 22892522
10 110 25880278
10 111 26746251
10 112 24093565
10 113 24295775
10 114 24398582
10 115 25765054
10 116 23147892
10 117 23325918
10 118 24150479
10 119 24245368
10 11 24552149
10 120 25844566
10 121 22095387
10 122 23884664
10 123 25703196
10 124 22965906
10 125 24309047
10 126 22124093
10 127 26844275
10 128 25044060
10 129 27207490
10 12 23721956
10 130 24415660
10 131 22421452
10 132 23550178
10 133 26132018
10 134 25387353
10 135 24354541
10 136 25194118
10 137 24762933
10 138 25966198
10 139 24421048
10 13 26606880
10 140 27457752
10 141 23457678
10 142 25889857
10 143 24912291
10 144 23039385
10 145 24399964
10 146 24788061
10 147 22995885
10 148 24719273
10 149 24173741
10 14 25237405
10 150 26931554
10 151 21261429
10 152 26875896
10 153 23321574
10 154 23307560
10 155 21457106
10 156 23952194
10 157 24141021
10 158 26452318
10 159 25149961
10 15 22965127
10 160 23220902
10 161 22162412
10 162 19839541
10 163 23906582
10 164 27870710
10 165 25530002
10 166 22729576
10 167 26420534
10 168 23059464
10 169 25675606
10 16 23277039
10 170 26914241
10 171 23784076
10 172 25040571
10 173 26036746
10 174 26543555
10 175 23337540
10 176 23985783
10 177 30632353
10 178 23189303
10 179 25701849
10 17 25217402
10 180 22828951
10 181 26063084
10 182 25083308
10 183 26975281
10 184 23988907
10 185 27090522
10 186 25817600
10 187 25092054
10 188 23807843
10 189 26758040
10 18 25214747
10 190 25020462
10 191 26970763
10 192 24130401
10 193 24864969
10 194 25034416
10 195 22996970
10 196 26127508
10 197 24185706
10 198 24253436
10 199 22896293
10 19 25076713
10 1 26244566
10 20 26435710
10 21 24702406
10 22 24793352
10 23 26319148
10 24 24299138
10 25 22678967
10 26 26486174
10 27 25810641
10 28 25382853
10 29 27053285
10 2 25124938
10 30 23811371
10 31 25939853
10 32 24944202
10 33 27636195
10 34 22847444
10 35 25438044
10 36 24620963
10 37 23646527
10 38 23362627
10 39 24163223
10 3 26138019
10 40 26444518
10 41 22211392
10 42 22085323
10 43 22721463
10 44 23657903
10 45 24482307
10 46 24713225
10 47 25398514
10 48 20537024
10 49 28602037
10 4 23749208
10 50 23131426
10 51 22818834
10 52 29510844
10 53 23021052
10 54 23913271
10 55 23962914
10 56 23235394
10 57 24318617
10 58 21702041
10 59 23919346
10 5 23956196
10 60 26022935
10 61 25443532
10 62 24000806
10 63 26212816
10 64 27705996
10 65 23750453
10 66 23309444
10 67 21824860
10 68 22661290
10 69 24301841
10 6 26033688
10 70 25529379
10 71 22721562
10 72 22857474
10 73 25056893
10 74 24115305
10 75 26926518
10 76 23146788
10 77 23088278
10 78 27825052
10 79 23298644
10 7 24735997
10 80 24205971
10 81 24022800
10 82 23895201
10 83 24482259
10 84 23806223
10 85 22751406
10 86 25633571
10 87 27449311
10 88 26904418
10 89 26408650
10 8 22537876
10 90 25574325
10 91 24327609
10 92 25555538
10 93 26111473
10 94 24408437
10 95 22373518
10 96 21956902
10 97 21782896
10 98 23957810
10 99 24497825
10 9 24508680
100 0 22227367
100 100 22083321
100 101 23435963
100 102 25233604
100 103 22017261
100 104 21317467
100 105 20957570
100 106 19549724
100 107 20130058
100 108 22395856
100 109 20307946
100 10 22446667
100 110 24428574
100 111 24498709
100 112 21548827
100 113 22454392
100 114 22572763
100 115 23135582
100 116 20051138
100 117 21588889
100 118 21149487
100 119 23721530
100 11 22766887
100 120 23090357
100 121 20981668
100 122 21928651
100 123 23463842
100 124 21246219
100 125 22396379
100 126 21144492
100 127 23266777
100 128 22396929
100 129 25293472
100 12 21958733
100 130 22925029
100 131 22324574
100 132 21560269
100 133 24881690
100 134 24082228
100 135 22680982
100 136 22804548
100 137 23025084
100 138 22883551
100 139 22269924
100 13 24532438
100 140 25674191
100 141 22194737
100 142 23386122
100 143 23507669
100 144 22354864
100 145 23012323
100 146 22646319
100 147 21992430
100 148 23374987
100 149 22668340
100 14 22439858
100 150 23949340
100 151 19411444
100 152 25031342
100 153 19997007
100 154 22851094
100 155 20292228
100 156 20973921
100 157 22857531
100 158 24215685
100 159 23123368
100 15 20861184
100 160 22202982
100 161 19731109
100 162 21545579
100 163 22046370
100 164 25708124
100 165 24799785
100 166 21513659
100 167 24119080
100 168 21129361
100 169 23026470
100 16 21983893
100 170 24532867
100 171 22313664
100 172 21901354
100 173 24373632
100 174 23265793
100 175 22653930
100 176 21342634
100 177 24787956
100 178 22646216
100 179 24519426
100 17 24648572
100 180 22089813
100 181 23952858
100 182 22595062
100 183 21979639
100 184 21562795
100 185 22783865
100 186 23676141
100 187 22280757
100 188 20707157
100 189 25577101
100 18 23307833
100 190 25487011
100 191 25474785
100 192 20881039
100 193 22942495
100 194 22045344
100 195 21310654
100 196 23189800
100 197 22385632
100 198 23016836
100 199 23033780
100 19 21232539
100 1 25012732
100 20 23815995
100 21 23241714
100 22 22203235
100 23 24017844
100 24 23092441
100 25 21190411
100 26 25314347
100 27 24200015
100 28 24886983
100 29 25017427
100 2 23404717
100 30 22565984
100 31 23340165
100 32 22231487
100 33 26112761
100 34 21628161
100 35 22616043
100 36 21844844
100 37 24028199
100 38 20817764
100 39 21895575
100 3 23360551
100 40 25058039
100 41 21366086
100 42 22489247
100 43 22007882
100 44 20761677
100 45 22817393
100 46 20565266
100 47 23820012
100 48 20219398
100 49 24863324
100 4 22067321
100 50 21570773
100 51 21207443
100 52 27894772
100 53 22250655
100 54 22145197
100 55 21992418
100 56 21763259
100 57 22043783
100 58 20215218
100 59 22091305
100 5 23116553
100 60 23387584
100 61 24334166
100 62 22654611
100 63 25062492
100 64 25136091
100 65 22347605
100 66 22519852
100 67 19829171
100 68 21223743
100 69 21255248
100 6 23483086
100 70 23402663
100 71 22103112
100 72 21648599
100 73 22988539
100 74 20326919
100 75 25069727
100 76 23578916
100 77 20806658
100 78 25619339
100 79 21733237
100 7 23355315
100 80 23971903
100 81 20932359
100 82 21958062
100 83 21797846
100 84 22110073
100 85 21417984
100 86 24072766
100 87 24113257
100 88 24741850
100 89 23609905
100 8 22626664
100 90 22225669
100 91 23033316
100 92 24222958
100 93 24244347
100 94 23253611
100 95 21315303
100 96 20915652
100 97 20474443
100 98 22254375
100 99 22626128
100 9 22545348
101 0 23392398
101 100 22362734
101 101 25229333
101 102 26164077
101 103 24039654
101 104 22532948
101 105 23487759
101 106 20039050
101 107 21620045
101 108 22768684
101 109 21517296
101 10 22797437
101 110 25967055
101 111 26416946
101 112 22853464
101 113 23020275
101 114 23084480
101 115 24941689
101 116 22830688
101 117 24025814
101 118 24021736
101 119 24273088
101 11 23482952
101 120 24071323
101 121 22408891
101 122 21519782
101 123 25545602
101 124 22445572
101 125 24170174
101 126 22281107
101 127 24859976
101 128 22860240
