200 100
0 0 237
0 1 552
0 2 839
0 3 487
0 4 238
0 5 630
0 6 946
0 7 984
0 8 509
0 9 323
0 10 488
0 11 733
0 12 901
0 13 907
0 14 102
0 15 915
0 16 938
0 17 251
0 18 191
0 19 372
0 20 859
0 21 549
0 22 172
0 23 449
0 24 288
0 25 183
0 26 752
0 27 116
0 28 827
0 29 31
0 30 644
0 31 651
0 32 933
0 33 99
0 34 899
0 35 191
0 36 491
0 37 3
0 38 590
0 39 428
0 40 144
0 41 112
0 42 521
0 43 105
0 44 850
0 45 762
0 46 866
0 47 91
0 48 993
0 49 296
0 50 836
0 51 632
0 52 537
0 53 424
0 54 882
0 55 262
0 56 767
0 57 751
0 58 244
0 59 191
0 60 765
0 61 874
0 62 36
0 63 303
0 64 978
0 65 409
0 66 37
0 67 420
0 68 162
0 69 948
0 70 992
0 71 286
0 72 280
0 73 879
0 74 170
0 75 123
0 76 261
0 77 743
0 78 900
0 79 342
0 80 763
0 81 36
0 82 700
0 83 480
0 84 703
0 85 269
0 86 70
0 87 82
0 88 840
0 89 514
0 90 905
0 91 482
0 92 684
0 93 806
0 94 89
0 95 554
0 96 881
0 97 391
0 98 409
0 99 204
1 0 833
1 1 868
1 2 766
1 3 274
1 4 299
1 5 137
1 6 370
1 7 83
1 8 725
1 9 583
1 10 116
1 11 424
1 12 536
1 13 816
1 14 658
1 15 703
1 16 381
1 17 875
1 18 321
1 19 384
1 20 599
1 21 863
1 22 140
1 23 862
1 24 127
1 25 382
1 26 564
1 27 516
1 28 22
1 29 870
1 30 743
1 31 28
1 32 946
1 33 938
1 34 181
1 35 645
1 36 509
1 37 719
1 38 797
1 39 337
1 40 505
1 41 597
1 42 922
1 43 913
1 44 71
1 45 707
1 46 407
1 47 482
1 48 741
1 49 318
1 50 829
1 51 672
1 52 568
1 53 271
1 54 96
1 55 228
1 56 89
1 57 791
1 58 609
1 59 667
1 60 199
1 61 5
1 62 475
1 63 893
1 64 53
1 65 526
1 66 757
1 67 447
1 68 941
1 69 486
1 70 112
1 71 303
1 72 463
1 73 649
1 74 564
1 75 815
1 76 190
1 77 828
1 78 934
1 79 620
1 80 575
1 81 625
1 82 366
1 83 382
1 84 708
1 85 134
1 86 927
1 87 663
1 88 1000
1 89 274
1 90 249
1 91 431
1 92 427
1 93 523
1 94 695
1 95 583
1 96 104
1 97 220
1 98 506
1 99 486
2 0 982
2 1 620
2 2 909
2 3 501
2 4 499
2 5 916
2 6 105
2 7 50
2 8 863
2 9 420
2 10 937
2 11 6
2 12 447
2 13 677
2 14 228
2 15 91
2 16 617
2 17 91
2 18 907
2 19 465
2 20 468
2 21 678
2 22 874
2 23 335
2 24 918
2 25 824
2 26 294
2 27 660
2 28 317
2 29 232
2 30 524
2 31 491
2 32 650
2 33 35
2 34 430
2 35 688
2 36 372
2 37 27
2 38 606
2 39 736
2 40 582
2 41 850
2 42 36
2 43 589
2 44 27
2 45 645
2 46 942
2 47 284
2 48 114
2 49 872
2 50 747
2 51 873
2 52 221
2 53 15
2 54 796
2 55 290
2 56 581
2 57 44
2 58 708
2 59 842
2 60 400
2 61 866
2 62 678
2 63 639
2 64 713
2 65 992
2 66 240
2 67 320
2 68 698
2 69 651
2 70 291
2 71 935
2 72 864
2 73 217
2 74 627
2 75 622
2 76 604
2 77 653
2 78 130
2 79 955
2 80 4
2 81 503
2 82 684
2 83 592
2 84 276
2 85 442
2 86 288
2 87 295
2 88 905
2 89 385
2 90 967
2 91 192
2 92 237
2 93 234
2 94 959
2 95 981
2 96 442
2 97 53
2 98 554
2 99 709
3 0 104
3 1 873
3 2 311
3 3 17
3 4 247
3 5 634
3 6 291
3 7 347
3 8 415
3 9 986
3 10 228
3 11 568
3 12 347
3 13 353
3 14 787
3 15 174
3 16 292
3 17 943
3 18 710
3 19 324
3 20 513
3 21 402
3 22 631
3 23 221
3 24 117
3 25 943
3 26 722
3 27 513
3 28 128
3 29 645
3 30 623
3 31 410
3 32 493
3 33 868
3 34 437
3 35 274
3 36 349
3 37 25
3 38 934
3 39 810
3 40 888
3 41 352
3 42 981
3 43 976
3 44 125
3 45 673
3 46 901
3 47 704
3 48 756
3 49 702
3 50 941
3 51 769
3 52 509
3 53 934
3 54 800
3 55 185
3 56 615
3 57 21
3 58 144
3 59 18
3 60 59
3 61 830
3 62 441
3 63 398
3 64 489
3 65 0
3 66 838
3 67 907
3 68 298
3 69 818
3 70 121
3 71 564
3 72 47
3 73 45
3 74 989
3 75 418
3 76 843
3 77 647
3 78 983
3 79 235
3 80 174
3 81 423
3 82 106
3 83 495
3 84 229
3 85 679
3 86 766
3 87 835
3 88 18
3 89 146
3 90 974
3 91 90
3 92 170
3 93 142
3 94 268
3 95 318
3 96 915
3 97 3
3 98 221
3 99 621
4 0 704
4 1 318
4 2 543
4 3 365
4 4 892
4 5 221
4 6 734
4 7 327
4 8 557
4 9 974
4 10 198
4 11 474
4 12 388
4 13 790
4 14 406
4 15 943
4 16 826
4 17 330
4 18 360
4 19 707
4 20 952
4 21 827
4 22 497
4 23 151
4 24 478
4 25 51
4 26 155
4 27 893
4 28 949
4 29 145
4 30 667
4 31 294
4 32 168
4 33 707
4 34 915
4 35 46
4 36 27
4 37 230
4 38 201
4 39 468
4 40 71
4 41 737
4 42 295
4 43 736
4 44 735
4 45 991
4 46 611
4 47 414
4 48 744
4 49 72
4 50 970
4 51 693
4 52 952
4 53 120
4 54 282
4 55 219
4 56 459
4 57 899
4 58 442
4 59 760
4 60 969
4 61 27
4 62 365
4 63 701
4 64 191
4 65 14
4 66 724
4 67 710
4 68 341
4 69 252
4 70 715
4 71 658
4 72 400
4 73 33
4 74 304
4 75 530
4 76 762
4 77 909
4 78 312
4 79 682
4 80 204
4 81 215
4 82 286
4 83 207
4 84 338
4 85 33
4 86 802
4 87 774
4 88 520
4 89 111
4 90 474
4 91 725
4 92 999
4 93 289
4 94 602
4 95 653
4 96 336
4 97 463
4 98 298
4 99 663
5 0 585
5 1 539
5 2 775
5 3 395
5 4 93
5 5 39
5 6 565
5 7 864
5 8 27
5 9 574
5 10 233
5 11 400
5 12 534
5 13 624
5 14 242
5 15 349
5 16 276
5 17 777
5 18 854
5 19 91
5 20 181
5 21 597
5 22 180
5 23 690
5 24 530
5 25 338
5 26 679
5 27 484
5 28 296
5 29 731
5 30 182
5 31 824
5 32 169
5 33 87
5 34 148
5 35 167
5 36 97
5 37 649
5 38 799
5 39 827
5 40 932
5 41 709
5 42 838
5 43 240
5 44 343
5 45 539
5 46 922
5 47 786
5 48 40
5 49 393
5 50 71
5 51 6
5 52 705
5 53 666
5 54 289
5 55 897
5 56 968
5 57 8
5 58 937
5 59 550
5 60 397
5 61 265
5 62 835
5 63 986
5 64 721
5 65 655
5 66 773
5 67 780
5 68 41
5 69 622
5 70 208
5 71 407
5 72 477
5 73 544
5 74 709
5 75 982
5 76 164
5 77 818
5 78 32
5 79 174
5 80 786
5 81 378
5 82 328
5 83 529
5 84 961
5 85 396
5 86 452
5 87 897
5 88 628
5 89 652
5 90 117
5 91 634
5 92 453
5 93 997
5 94 70
5 95 335
5 96 296
5 97 569
5 98 846
5 99 944
6 0 677
6 1 19
6 2 174
6 3 69
6 4 323
6 5 564
6 6 549
6 7 277
6 8 35
6 9 123
6 10 389
6 11 598
6 12 959
6 13 144
6 14 676
6 15 197
6 16 413
6 17 19
6 18 311
6 19 310
6 20 400
6 21 179
6 22 870
6 23 115
6 24 610
6 25 814
6 26 789
6 27 916
6 28 135
6 29 596
6 30 482
6 31 214
6 32 787
6 33 401
6 34 117
6 35 419
6 36 146
6 37 109
6 38 921
