100 200
0 0 947
0 1 745
0 2 43
0 3 202
0 4 814
0 5 903
0 6 577
0 7 69
0 8 271
0 9 99
0 10 597
0 11 565
0 12 699
0 13 545
0 14 969
0 15 982
0 16 53
0 17 650
0 18 593
0 19 990
0 20 2
0 21 157
0 22 409
0 23 34
0 24 877
0 25 645
0 26 154
0 27 915
0 28 695
0 29 179
0 30 571
0 31 347
0 32 159
0 33 811
0 34 599
0 35 727
0 36 836
0 37 843
0 38 722
0 39 786
0 40 55
0 41 232
0 42 249
0 43 578
0 44 838
0 45 25
0 46 932
0 47 247
0 48 64
0 49 152
0 50 993
0 51 332
0 52 694
0 53 221
0 54 404
0 55 877
0 56 233
0 57 523
0 58 426
0 59 123
0 60 246
0 61 463
0 62 118
0 63 314
0 64 307
0 65 355
0 66 474
0 67 732
0 68 772
0 69 543
0 70 854
0 71 895
0 72 912
0 73 625
0 74 946
0 75 404
0 76 6
0 77 341
0 78 673
0 79 335
0 80 469
0 81 258
0 82 972
0 83 895
0 84 160
0 85 471
0 86 466
0 87 664
0 88 36
0 89 129
0 90 392
0 91 38
0 92 655
0 93 398
0 94 679
0 95 804
0 96 700
0 97 93
0 98 529
0 99 836
0 100 927
0 101 317
0 102 549
0 103 508
0 104 302
0 105 526
0 106 77
0 107 151
0 108 16
0 109 627
0 110 896
0 111 784
0 112 523
0 113 578
0 114 243
0 115 187
0 116 20
0 117 981
0 118 380
0 119 431
0 120 759
0 121 30
0 122 376
0 123 953
0 124 796
0 125 665
0 126 121
0 127 25
0 128 812
0 129 522
0 130 885
0 131 702
0 132 685
0 133 996
0 134 974
0 135 347
0 136 455
0 137 499
0 138 793
0 139 122
0 140 908
0 141 624
0 142 669
0 143 162
0 144 349
0 145 442
0 146 679
0 147 932
0 148 836
0 149 227
0 150 334
0 151 994
0 152 217
0 153 520
0 154 692
0 155 258
0 156 861
0 157 1000
0 158 448
0 159 985
0 160 539
0 161 622
0 162 235
0 163 140
0 164 696
0 165 819
0 166 286
0 167 729
0 168 295
0 169 414
0 170 72
0 171 257
0 172 0
0 173 755
0 174 496
0 175 426
0 176 355
0 177 583
0 178 320
0 179 745
0 180 179
0 181 82
0 182 394
0 183 486
0 184 927
0 185 355
0 186 532
0 187 544
0 188 168
0 189 607
0 190 540
0 191 398
0 192 396
0 193 994
0 194 17
0 195 478
0 196 580
0 197 824
0 198 723
0 199 261
1 0 213
1 1 597
1 2 906
1 3 257
1 4 185
1 5 573
1 6 410
1 7 664
1 8 902
1 9 942
1 10 885
1 11 794
1 12 678
1 13 553
1 14 841
1 15 521
1 16 808
1 17 446
1 18 824
1 19 474
1 20 39
1 21 13
1 22 956
1 23 910
1 24 367
1 25 695
1 26 375
1 27 806
1 28 519
1 29 658
1 30 842
1 31 223
1 32 185
1 33 931
1 34 0
1 35 964
1 36 131
1 37 110
1 38 29
1 39 618
1 40 284
1 41 568
1 42 566
1 43 898
1 44 372
1 45 103
1 46 874
1 47 507
1 48 799
1 49 208
1 50 42
1 51 724
1 52 595
1 53 406
1 54 146
1 55 650
1 56 867
1 57 823
1 58 988
1 59 404
1 60 196
1 61 800
1 62 768
1 63 213
1 64 171
1 65 73
1 66 443
1 67 51
1 68 258
1 69 36
1 70 956
1 71 778
1 72 132
1 73 0
1 74 196
1 75 907
1 76 725
1 77 618
1 78 321
1 79 354
1 80 71
1 81 42
1 82 506
1 83 51
1 84 903
1 85 648
1 86 641
1 87 50
1 88 164
1 89 711
1 90 704
1 91 307
1 92 19
1 93 639
1 94 808
1 95 870
1 96 542
1 97 75
1 98 726
1 99 313
1 100 103
1 101 903
1 102 212
1 103 878
1 104 869
1 105 215
1 106 490
1 107 648
1 108 429
1 109 343
1 110 639
1 111 457
1 112 172
1 113 251
1 114 703
1 115 712
1 116 835
1 117 156
1 118 682
1 119 708
1 120 819
1 121 249
1 122 894
1 123 56
1 124 582
1 125 729
1 126 188
1 127 898
1 128 277
1 129 452
1 130 792
1 131 543
1 132 341
1 133 904
1 134 697
1 135 774
1 136 486
1 137 477
1 138 660
1 139 759
1 140 606
1 141 364
1 142 904
1 143 373
1 144 904
1 145 891
1 146 118
1 147 930
1 148 398
1 149 16
1 150 523
1 151 307
1 152 699
1 153 873
1 154 985
1 155 355
1 156 659
1 157 270
1 158 795
1 159 540
1 160 768
1 161 72
1 162 139
1 163 961
1 164 42
1 165 266
1 166 662
1 167 438
1 168 94
1 169 574
1 170 551
1 171 677
1 172 79
1 173 248
1 174 966
1 175 270
1 176 471
1 177 886
1 178 854
1 179 494
1 180 80
1 181 924
1 182 706
1 183 170
1 184 102
1 185 807
1 186 807
1 187 262
1 188 623
1 189 876
1 190 493
1 191 705
1 192 828
1 193 254
1 194 464
1 195 704
1 196 505
1 197 875
1 198 767
1 199 25
2 0 548
2 1 656
2 2 82
2 3 82
2 4 175
2 5 605
2 6 685
2 7 131
2 8 823
2 9 955
2 10 893
2 11 267
2 12 468
2 13 586
2 14 481
2 15 689
2 16 884
2 17 38
2 18 165
2 19 59
2 20 175
2 21 863
2 22 755
2 23 135
2 24 834
2 25 150
2 26 357
2 27 806
2 28 686
2 29 906
2 30 44
2 31 122
2 32 894
2 33 853
2 34 217
2 35 691
2 36 373
2 37 332
2 38 886
2 39 964
2 40 755
2 41 40
2 42 157
2 43 416
2 44 396
2 45 325
2 46 555
2 47 649
2 48 289
2 49 836
2 50 114
2 51 792
2 52 231
2 53 286
2 54 880
2 55 865
2 56 906
2 57 159
2 58 227
2 59 641
2 60 305
2 61 68
2 62 621
2 63 416
2 64 924
2 65 428
2 66 536
2 67 855
2 68 458
2 69 444
2 70 577
2 71 653
2 72 294
2 73 980
2 74 906
2 75 169
2 76 938
2 77 555
2 78 775
2 79 538
2 80 736
2 81 701
2 82 904
2 83 798
2 84 798
2 85 882
2 86 100
2 87 555
2 88 60
2 89 619
2 90 149
2 91 763
2 92 577
2 93 304
2 94 564
2 95 925
2 96 923
2 97 248
2 98 29
2 99 55
2 100 285
2 101 936
2 102 528
2 103 67
2 104 844
2 105 271
2 106 518
2 107 159
2 108 831
2 109 986
2 110 753
2 111 964
2 112 919
2 113 79
2 114 169
2 115 471
2 116 210
2 117 417
2 118 910
2 119 507
2 120 195
2 121 941
2 122 502
2 123 587
2 124 317
2 125 65
2 126 112
2 127 368
2 128 157
2 129 88
2 130 28
2 131 291
2 132 412
2 133 824
2 134 363
2 135 308
2 136 430
2 137 104
2 138 226
2 139 137
2 140 905
2 141 258
2 142 524
2 143 9
2 144 455
2 145 269
2 146 896
2 147 178
2 148 397
2 149 572
2 150 150
2 151 308
2 152 753
2 153 783
2 154 86
2 155 910
2 156 941
2 157 355
2 158 326
2 159 704
2 160 312
2 161 556
2 162 805
2 163 199
2 164 120
2 165 893
2 166 957
2 167 457
2 168 172
2 169 649
2 170 920
2 171 808
2 172 686
2 173 71
2 174 409
2 175 184
2 176 56
2 177 525
2 178 958
2 179 402
2 180 904
2 181 367
2 182 270
2 183 63
2 184 934
2 185 486
2 186 609
2 187 191
2 188 670
2 189 770
2 190 161
2 191 769
2 192 276
2 193 183
2 194 319
2 195 266
2 196 163
2 197 940
2 198 508
2 199 921
3 0 553
3 1 634
3 2 8
3 3 152
3 4 97
3 5 34
3 6 573
3 7 240
3 8 348
3 9 918
3 10 287
3 11 238
3 12 853
3 13 54
3 14 447
3 15 792
3 16 823
3 17 776
3 18 974
3 19 331
3 20 160
3 21 396
3 22 40
3 23 345
3 24 9
3 25 236
3 26 639
3 27 67
3 28 353
3 29 279
3 30 245
3 31 397
3 32 632
3 33 40
3 34 215
3 35 102
3 36 516
3 37 24
3 38 873
3 39 279
3 40 746
3 41 448
3 42 857
3 43 362
3 44 736
3 45 747
3 46 595
3 47 167
3 48 72
3 49 72
3 50 671
3 51 139
3 52 322
3 53 861
3 54 407
3 55 252
3 56 960
3 57 809
3 58 595
3 59 196
3 60 263
3 61 541
3 62 546
3 63 459
3 64 309
3 65 690
3 66 573
3 67 449
3 68 119
3 69 824
3 70 491
3 71 336
3 72 258
3 73 827
3 74 931
3 75 36
3 76 514
3 77 171
3 78 893
3 79 464
