200 500
0 0 78
0 1 896
0 2 609
0 3 521
0 4 221
0 5 388
0 6 453
0 7 109
0 8 734
0 9 675
0 10 705
0 11 925
0 12 728
0 13 200
0 14 799
0 15 589
0 16 199
0 17 47
0 18 135
0 19 261
0 20 364
0 21 899
0 22 759
0 23 563
0 24 626
0 25 695
0 26 510
0 27 187
0 28 458
0 29 693
0 30 881
0 31 934
0 32 708
0 33 598
0 34 236
0 35 35
0 36 140
0 37 771
0 38 998
0 39 943
0 40 375
0 41 219
0 42 126
0 43 11
0 44 172
0 45 35
0 46 40
0 47 452
0 48 355
0 49 72
0 50 204
0 51 639
0 52 367
0 53 838
0 54 231
0 55 417
0 56 710
0 57 193
0 58 518
0 59 552
0 60 420
0 61 272
0 62 865
0 63 755
0 64 660
0 65 493
0 66 815
0 67 220
0 68 441
0 69 778
0 70 730
0 71 813
0 72 677
0 73 739
0 74 663
0 75 739
0 76 913
0 77 509
0 78 433
0 79 450
0 80 393
0 81 988
0 82 173
0 83 268
0 84 385
0 85 247
0 86 808
0 87 43
0 88 550
0 89 439
0 90 50
0 91 189
0 92 253
0 93 90
0 94 17
0 95 915
0 96 552
0 97 79
0 98 979
0 99 396
0 100 83
0 101 798
0 102 148
0 103 595
0 104 109
0 105 949
0 106 633
0 107 728
0 108 693
0 109 336
0 110 648
0 111 682
0 112 547
0 113 824
0 114 95
0 115 326
0 116 790
0 117 721
0 118 339
0 119 579
0 120 691
0 121 94
0 122 857
0 123 367
0 124 409
0 125 508
0 126 944
0 127 352
0 128 409
0 129 670
0 130 832
0 131 913
0 132 396
0 133 587
0 134 26
0 135 469
0 136 986
0 137 134
0 138 44
0 139 127
0 140 404
0 141 721
0 142 646
0 143 574
0 144 68
0 145 186
0 146 42
0 147 779
0 148 282
0 149 175
0 150 781
0 151 305
0 152 607
0 153 310
0 154 811
0 155 909
0 156 543
0 157 992
0 158 183
0 159 165
0 160 102
0 161 162
0 162 59
0 163 42
0 164 327
0 165 808
0 166 695
0 167 311
0 168 787
0 169 82
0 170 940
0 171 43
0 172 25
0 173 473
0 174 440
0 175 858
0 176 161
0 177 125
0 178 188
0 179 611
0 180 399
0 181 800
0 182 343
0 183 524
0 184 414
0 185 271
0 186 991
0 187 716
0 188 89
0 189 745
0 190 725
0 191 519
0 192 350
0 193 836
0 194 568
0 195 165
0 196 288
0 197 914
0 198 619
0 199 936
0 200 268
0 201 187
0 202 767
0 203 911
0 204 248
0 205 167
0 206 249
0 207 604
0 208 67
0 209 401
0 210 617
0 211 408
